name,artistID,id,imageURL,uri
Everyday Life,4gzpq5DPGxSnKTe4SA8HAU,7z0efuBXAnPfu60aOL3QFV,https://i.scdn.co/image/ab67616d0000b2739cb7891368cb117a44561673,spotify:album:7z0efuBXAnPfu60aOL3QFV
Everyday Life,4gzpq5DPGxSnKTe4SA8HAU,2FeyIYDDAQqcOJKOKhvHdr,https://i.scdn.co/image/ab67616d0000b2737b9a76ec264401b223e607a4,spotify:album:2FeyIYDDAQqcOJKOKhvHdr
Everyday Life,4gzpq5DPGxSnKTe4SA8HAU,38dLksLxrS6SBps345nbJI,https://i.scdn.co/image/ab67616d0000b2735d7ea75f672544cfc58e60d8,spotify:album:38dLksLxrS6SBps345nbJI
Everyday Life,4gzpq5DPGxSnKTe4SA8HAU,4dBp8rzdqH9unSndGk6g6o,https://i.scdn.co/image/ab67616d0000b2738e29cfc28fec26fcfc58da3e,spotify:album:4dBp8rzdqH9unSndGk6g6o
Live in Buenos Aires,4gzpq5DPGxSnKTe4SA8HAU,19CvkGjYpifkdwgVJSbog2,https://i.scdn.co/image/ab67616d0000b273fe5f1f4d742869a253036971,spotify:album:19CvkGjYpifkdwgVJSbog2
Love in Tokyo,4gzpq5DPGxSnKTe4SA8HAU,6K1fjArmQ4SEiSDIG9fY01,https://i.scdn.co/image/ab67616d0000b27397f1fa4e876d737bef35f766,spotify:album:6K1fjArmQ4SEiSDIG9fY01
A Head Full of Dreams,4gzpq5DPGxSnKTe4SA8HAU,3cfAM8b8KqJRoIzt3zLKqw,https://i.scdn.co/image/ab67616d0000b273e83a9bda48a241b0e2be0d8b,spotify:album:3cfAM8b8KqJRoIzt3zLKqw
A Head Full of Dreams Tour Edition,4gzpq5DPGxSnKTe4SA8HAU,5IDGBfcVjwMoGPKOsfyXLN,https://i.scdn.co/image/ab67616d0000b273b1bae8779d8a685f8ddc98a5,spotify:album:5IDGBfcVjwMoGPKOsfyXLN
Ghost Stories Live 2014,4gzpq5DPGxSnKTe4SA8HAU,1hNS0RsxPTFjmKXCgmjSLS,https://i.scdn.co/image/ab67616d0000b273e17c11c195f80da123e17dde,spotify:album:1hNS0RsxPTFjmKXCgmjSLS
Ghost Stories,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr,https://i.scdn.co/image/ab67616d0000b2731cbd0d5849b51c79c99e7b87,spotify:album:2G4AUqfwxcV1UdQjm2ouYr
