,albumID,track_number,id,name,uri,artistID
0,5UACk85y1hNRSUtY0ss8pb,1,5SyCD1ic378B4rYWhDmuvo,raindrops (an angel cried) - live,spotify:track:5SyCD1ic378B4rYWhDmuvo,66CXWjxzNUsdJxJ2JdwvnR
1,5UACk85y1hNRSUtY0ss8pb,2,67kQ3UW7saqCFqB54BVKKI,god is a woman - live,spotify:track:67kQ3UW7saqCFqB54BVKKI,66CXWjxzNUsdJxJ2JdwvnR
2,5UACk85y1hNRSUtY0ss8pb,3,12s87E3EVHMYZQyr9mXsUi,bad idea - live,spotify:track:12s87E3EVHMYZQyr9mXsUi,66CXWjxzNUsdJxJ2JdwvnR
3,5UACk85y1hNRSUtY0ss8pb,4,56feSEETtLwNjY5Xz8XbKI,"break up with your girlfriend, i'm bored - live",spotify:track:56feSEETtLwNjY5Xz8XbKI,66CXWjxzNUsdJxJ2JdwvnR
4,5UACk85y1hNRSUtY0ss8pb,5,2I2HYr4FLb6LPfdgcKxK2J,r.e.m - live,spotify:track:2I2HYr4FLb6LPfdgcKxK2J,66CXWjxzNUsdJxJ2JdwvnR
5,5UACk85y1hNRSUtY0ss8pb,6,4OR2KU2qCnREBsSwwJ4PBn,be alright - live,spotify:track:4OR2KU2qCnREBsSwwJ4PBn,66CXWjxzNUsdJxJ2JdwvnR
6,5UACk85y1hNRSUtY0ss8pb,7,1Bvxlmt3CtZTyls2IJQ38T,sweetener - live,spotify:track:1Bvxlmt3CtZTyls2IJQ38T,66CXWjxzNUsdJxJ2JdwvnR
7,5UACk85y1hNRSUtY0ss8pb,8,7bfnkOya2SV8LLTsYmRQJR,successful - live,spotify:track:7bfnkOya2SV8LLTsYmRQJR,66CXWjxzNUsdJxJ2JdwvnR
8,5UACk85y1hNRSUtY0ss8pb,9,1FYLqciy2MckeKgTvOCawO,side to side - live,spotify:track:1FYLqciy2MckeKgTvOCawO,66CXWjxzNUsdJxJ2JdwvnR
9,5UACk85y1hNRSUtY0ss8pb,10,6va6SjWz457IOZidBppAhz,7 rings - live,spotify:track:6va6SjWz457IOZidBppAhz,66CXWjxzNUsdJxJ2JdwvnR
10,5UACk85y1hNRSUtY0ss8pb,11,6Q4JJnjX00q8O10OliHhjS,love me harder - live,spotify:track:6Q4JJnjX00q8O10OliHhjS,66CXWjxzNUsdJxJ2JdwvnR
11,5UACk85y1hNRSUtY0ss8pb,12,1edP751qQSUaA1vo7Hva3w,breathin - live,spotify:track:1edP751qQSUaA1vo7Hva3w,66CXWjxzNUsdJxJ2JdwvnR
12,5UACk85y1hNRSUtY0ss8pb,13,1IVnvJN9oC3pDYv9qpAnj7,needy - live,spotify:track:1IVnvJN9oC3pDYv9qpAnj7,66CXWjxzNUsdJxJ2JdwvnR
13,5UACk85y1hNRSUtY0ss8pb,14,5BYts42mYfuullBbELoaEV,fake smile - live,spotify:track:5BYts42mYfuullBbELoaEV,66CXWjxzNUsdJxJ2JdwvnR
14,5UACk85y1hNRSUtY0ss8pb,15,1TCEZgYrPjc2G5sBYJciuq,make up - live,spotify:track:1TCEZgYrPjc2G5sBYJciuq,66CXWjxzNUsdJxJ2JdwvnR
15,5UACk85y1hNRSUtY0ss8pb,16,7MjS7SoRzn8VXajFdV3t04,right there - live,spotify:track:7MjS7SoRzn8VXajFdV3t04,66CXWjxzNUsdJxJ2JdwvnR
16,5UACk85y1hNRSUtY0ss8pb,17,6FmBKZxA3K1Ycr9spEeI15,you'll never know - live,spotify:track:6FmBKZxA3K1Ycr9spEeI15,66CXWjxzNUsdJxJ2JdwvnR
17,5UACk85y1hNRSUtY0ss8pb,18,1qfOSlQohddqAOGl3f8snd,break your heart right back - live,spotify:track:1qfOSlQohddqAOGl3f8snd,66CXWjxzNUsdJxJ2JdwvnR
18,5UACk85y1hNRSUtY0ss8pb,19,4jkikgyrlBMR4Fj3d1s4jT,nasa - live,spotify:track:4jkikgyrlBMR4Fj3d1s4jT,66CXWjxzNUsdJxJ2JdwvnR
19,5UACk85y1hNRSUtY0ss8pb,20,6dB14UPKgEDLTp38BIKk6N,tattooed heart - live,spotify:track:6dB14UPKgEDLTp38BIKk6N,66CXWjxzNUsdJxJ2JdwvnR
20,5UACk85y1hNRSUtY0ss8pb,21,5qmcKqCKRb4EFwRTsndXNe,only 1 - live,spotify:track:5qmcKqCKRb4EFwRTsndXNe,66CXWjxzNUsdJxJ2JdwvnR
21,5UACk85y1hNRSUtY0ss8pb,22,0ao5xnzWNAt0dZFF6v4Sct,goodnight n go - live,spotify:track:0ao5xnzWNAt0dZFF6v4Sct,66CXWjxzNUsdJxJ2JdwvnR
