,albumID,track_number,id,name,uri,artistID
0,4KdtEKjY3Gi0mKiSdy96ML,1,7p2ewixAShLpjDZrnzZK7c,Get Up 10,spotify:track:7p2ewixAShLpjDZrnzZK7c,4kYSro6naA4h99UJvo89HB
1,4KdtEKjY3Gi0mKiSdy96ML,2,2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),spotify:track:2qcG0nZ6S3zZV0UrkY5nFo,4kYSro6naA4h99UJvo89HB
2,4KdtEKjY3Gi0mKiSdy96ML,3,17Yq72h0p15OhCbZ5lJ5gd,Bickenhead,spotify:track:17Yq72h0p15OhCbZ5lJ5gd,4kYSro6naA4h99UJvo89HB
3,4KdtEKjY3Gi0mKiSdy96ML,4,6KBYefIoo7KydImq1uUQlL,Bodak Yellow,spotify:track:6KBYefIoo7KydImq1uUQlL,4kYSro6naA4h99UJvo89HB
4,4KdtEKjY3Gi0mKiSdy96ML,5,2Yl4OmDby9iitgNWZPwxkd,Be Careful,spotify:track:2Yl4OmDby9iitgNWZPwxkd,4kYSro6naA4h99UJvo89HB
5,4KdtEKjY3Gi0mKiSdy96ML,6,00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),spotify:track:00B7TZ0Xawar6NZ00JFomN,4kYSro6naA4h99UJvo89HB
6,4KdtEKjY3Gi0mKiSdy96ML,7,58q2HKrzhC3ozto2nDdN4z,I Like It,spotify:track:58q2HKrzhC3ozto2nDdN4z,4kYSro6naA4h99UJvo89HB
7,4KdtEKjY3Gi0mKiSdy96ML,8,5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),spotify:track:5DfWF0jqMgZDCiu9zJENTA,4kYSro6naA4h99UJvo89HB
8,4KdtEKjY3Gi0mKiSdy96ML,9,1vBeIXlzbAieGoDqInav5j,Money Bag,spotify:track:1vBeIXlzbAieGoDqInav5j,4kYSro6naA4h99UJvo89HB
9,4KdtEKjY3Gi0mKiSdy96ML,10,0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),spotify:track:0dIoGTQXDh1wVnhIiSyYEa,4kYSro6naA4h99UJvo89HB
10,4KdtEKjY3Gi0mKiSdy96ML,11,0CfmNX2TXk7yoJqHJiixnp,She Bad,spotify:track:0CfmNX2TXk7yoJqHJiixnp,4kYSro6naA4h99UJvo89HB
11,4KdtEKjY3Gi0mKiSdy96ML,12,74cVJfmK18rhWnscIpGXjt,Thru Your Phone,spotify:track:74cVJfmK18rhWnscIpGXjt,4kYSro6naA4h99UJvo89HB
12,4KdtEKjY3Gi0mKiSdy96ML,13,1f5PNhkNgUpvDEeZfcIlO1,I Do (feat. SZA),spotify:track:1f5PNhkNgUpvDEeZfcIlO1,4kYSro6naA4h99UJvo89HB
26,47IM97GbpNyDREWlr2HtNM,1,5rsH1ezDwyf4o8JJguPgRc,Bronx Season,spotify:track:5rsH1ezDwyf4o8JJguPgRc,4kYSro6naA4h99UJvo89HB
27,47IM97GbpNyDREWlr2HtNM,2,5XdHz3HfGGOsvdhe06oxts,Lick (feat. Offset),spotify:track:5XdHz3HfGGOsvdhe06oxts,4kYSro6naA4h99UJvo89HB
28,47IM97GbpNyDREWlr2HtNM,3,6GBEjkFlNzM2trwa8rgnIU,Hectic (feat. DJ Hardwerk),spotify:track:6GBEjkFlNzM2trwa8rgnIU,4kYSro6naA4h99UJvo89HB
29,47IM97GbpNyDREWlr2HtNM,4,1k3xls4mMxRv5do5nkun3S,Leave That Bitch Alone (Skit) (feat. Justvlad),spotify:track:1k3xls4mMxRv5do5nkun3S,4kYSro6naA4h99UJvo89HB
30,47IM97GbpNyDREWlr2HtNM,5,5YcPaD42EIHnDSDE5FT5Xe,Leave That Bitch Alone,spotify:track:5YcPaD42EIHnDSDE5FT5Xe,4kYSro6naA4h99UJvo89HB
31,47IM97GbpNyDREWlr2HtNM,6,5FY4uYtImpQporoncKhclK,Rollin,spotify:track:5FY4uYtImpQporoncKhclK,4kYSro6naA4h99UJvo89HB
32,47IM97GbpNyDREWlr2HtNM,7,6J4khM5qxAUjCsxoURWem1,Back It Up (feat. Konshens & Hoodcelebrityy),spotify:track:6J4khM5qxAUjCsxoURWem1,4kYSro6naA4h99UJvo89HB
33,47IM97GbpNyDREWlr2HtNM,8,39bonbD9XI0Wv2D7tD8s2H,Never Give Up (feat. Josh X),spotify:track:39bonbD9XI0Wv2D7tD8s2H,4kYSro6naA4h99UJvo89HB
34,47IM97GbpNyDREWlr2HtNM,9,5N0jIaYartDLhYOIIv5P4S,Pull Up,spotify:track:5N0jIaYartDLhYOIIv5P4S,4kYSro6naA4h99UJvo89HB
35,47IM97GbpNyDREWlr2HtNM,10,1lmZXJiHlLbA7tgoTXctwb,Pop Off (feat. Casanova),spotify:track:1lmZXJiHlLbA7tgoTXctwb,4kYSro6naA4h99UJvo89HB
36,4hRSrC7bRqBqDDSfhe5qRO,1,0n6qoCWeQuMfSVDDOF1RSE,Intro (Skit) (feat. The Breakfast Club),spotify:track:0n6qoCWeQuMfSVDDOF1RSE,4kYSro6naA4h99UJvo89HB
