,albumID,track_number,id,name,uri,artistID
0,7z0efuBXAnPfu60aOL3QFV,1,7H4NC6MYkcO91vrXwRQ4N1,Sunrise,spotify:track:7H4NC6MYkcO91vrXwRQ4N1,4gzpq5DPGxSnKTe4SA8HAU
1,7z0efuBXAnPfu60aOL3QFV,2,4nb8OcZG8lpnHi5DmkEnY2,Church,spotify:track:4nb8OcZG8lpnHi5DmkEnY2,4gzpq5DPGxSnKTe4SA8HAU
2,7z0efuBXAnPfu60aOL3QFV,3,49YD8pGETf5HUKxouVdq3W,Trouble In Town,spotify:track:49YD8pGETf5HUKxouVdq3W,4gzpq5DPGxSnKTe4SA8HAU
3,7z0efuBXAnPfu60aOL3QFV,4,0puPjLkM0yGkHcgJ5Cx0Tu,BrokEn,spotify:track:0puPjLkM0yGkHcgJ5Cx0Tu,4gzpq5DPGxSnKTe4SA8HAU
4,7z0efuBXAnPfu60aOL3QFV,5,6s2hGG9yeBypHY9Gf8poVv,Daddy,spotify:track:6s2hGG9yeBypHY9Gf8poVv,4gzpq5DPGxSnKTe4SA8HAU
5,7z0efuBXAnPfu60aOL3QFV,6,4OcWgqzJPCxfxhUveVHHFj,WOTW / POTP,spotify:track:4OcWgqzJPCxfxhUveVHHFj,4gzpq5DPGxSnKTe4SA8HAU
6,7z0efuBXAnPfu60aOL3QFV,7,3O9LthKRLBGvldECecoHYz,Arabesque,spotify:track:3O9LthKRLBGvldECecoHYz,4gzpq5DPGxSnKTe4SA8HAU
7,7z0efuBXAnPfu60aOL3QFV,8,1z5nCEeGw23FVORtbNYCHG,When I Need A Friend,spotify:track:1z5nCEeGw23FVORtbNYCHG,4gzpq5DPGxSnKTe4SA8HAU
8,7z0efuBXAnPfu60aOL3QFV,1,1N07LKSbSEsrECpw1SVkt8,Guns,spotify:track:1N07LKSbSEsrECpw1SVkt8,4gzpq5DPGxSnKTe4SA8HAU
9,7z0efuBXAnPfu60aOL3QFV,2,4cUpJkAYVyJ6OR6f7dYTzb,Orphans,spotify:track:4cUpJkAYVyJ6OR6f7dYTzb,4gzpq5DPGxSnKTe4SA8HAU
10,7z0efuBXAnPfu60aOL3QFV,3,2xH25Fv8hXL9coCyCJEVX3,Èkó,spotify:track:2xH25Fv8hXL9coCyCJEVX3,4gzpq5DPGxSnKTe4SA8HAU
11,7z0efuBXAnPfu60aOL3QFV,4,60cpogZMcBJo6gryiyIzB1,Cry Cry Cry,spotify:track:60cpogZMcBJo6gryiyIzB1,4gzpq5DPGxSnKTe4SA8HAU
12,7z0efuBXAnPfu60aOL3QFV,5,0yLy5ps68NaqSu2gjQgBzf,Old Friends,spotify:track:0yLy5ps68NaqSu2gjQgBzf,4gzpq5DPGxSnKTe4SA8HAU
13,7z0efuBXAnPfu60aOL3QFV,6,2mFIMXz2JCV1v7we5Qbve7,بنی آدم,spotify:track:2mFIMXz2JCV1v7we5Qbve7,4gzpq5DPGxSnKTe4SA8HAU
14,7z0efuBXAnPfu60aOL3QFV,7,2GXbkOYI1HuSqk95wIcnm8,Champion Of The World,spotify:track:2GXbkOYI1HuSqk95wIcnm8,4gzpq5DPGxSnKTe4SA8HAU
15,7z0efuBXAnPfu60aOL3QFV,8,3pSR6gudZ1UTltAeeZ7UDq,Everyday Life,spotify:track:3pSR6gudZ1UTltAeeZ7UDq,4gzpq5DPGxSnKTe4SA8HAU
16,7z0efuBXAnPfu60aOL3QFV,9,4S2lJPZBoyl28MilRBgxgb,Flags,spotify:track:4S2lJPZBoyl28MilRBgxgb,4gzpq5DPGxSnKTe4SA8HAU
35,38dLksLxrS6SBps345nbJI,3,5kqQ9HZ38KtKQcM73sWtCb,Trouble in Town,spotify:track:5kqQ9HZ38KtKQcM73sWtCb,4gzpq5DPGxSnKTe4SA8HAU
66,19CvkGjYpifkdwgVJSbog2,1,5H8lr4az4Vo3LloH67yVRt,A Head Full of Dreams - Live in Buenos Aires,spotify:track:5H8lr4az4Vo3LloH67yVRt,4gzpq5DPGxSnKTe4SA8HAU
67,19CvkGjYpifkdwgVJSbog2,2,2s2Ld1Xm7t88gSVvohNbPL,Yellow - Live in Buenos Aires,spotify:track:2s2Ld1Xm7t88gSVvohNbPL,4gzpq5DPGxSnKTe4SA8HAU
68,19CvkGjYpifkdwgVJSbog2,3,4Q0yfgpERfkp59Pf2tdI4q,Every Teardrop Is a Waterfall - Live in Buenos Aires,spotify:track:4Q0yfgpERfkp59Pf2tdI4q,4gzpq5DPGxSnKTe4SA8HAU
69,19CvkGjYpifkdwgVJSbog2,4,1aZhbOdRqshLS6uPjiO8Y4,The Scientist - Live in Buenos Aires,spotify:track:1aZhbOdRqshLS6uPjiO8Y4,4gzpq5DPGxSnKTe4SA8HAU
70,19CvkGjYpifkdwgVJSbog2,5,2q8WO601qIwLwV4DgXDCiO,God Put a Smile upon Your Face - Live in Buenos Aires,spotify:track:2q8WO601qIwLwV4DgXDCiO,4gzpq5DPGxSnKTe4SA8HAU
71,19CvkGjYpifkdwgVJSbog2,6,314gi4w3RdZxlocdWw0Khr,Paradise - Live in Buenos Aires,spotify:track:314gi4w3RdZxlocdWw0Khr,4gzpq5DPGxSnKTe4SA8HAU
72,19CvkGjYpifkdwgVJSbog2,7,0oAchaVoTWj6lXTR6f2dSU,Always in My Head - Live in Buenos Aires,spotify:track:0oAchaVoTWj6lXTR6f2dSU,4gzpq5DPGxSnKTe4SA8HAU
73,19CvkGjYpifkdwgVJSbog2,8,6EqxH0njjZuuI3gFZN3Z1o,Magic - Live in Buenos Aires,spotify:track:6EqxH0njjZuuI3gFZN3Z1o,4gzpq5DPGxSnKTe4SA8HAU
74,19CvkGjYpifkdwgVJSbog2,9,4U5Cr41d1K6s48GAndvCdM,Everglow - Live in Buenos Aires,spotify:track:4U5Cr41d1K6s48GAndvCdM,4gzpq5DPGxSnKTe4SA8HAU
75,19CvkGjYpifkdwgVJSbog2,10,4cHZ7W5R81upaIGZfqWxbB,Clocks - Live in Buenos Aires,spotify:track:4cHZ7W5R81upaIGZfqWxbB,4gzpq5DPGxSnKTe4SA8HAU
76,19CvkGjYpifkdwgVJSbog2,11,62OqszvOYSuonp6Buj4P74,Midnight - Live in Buenos Aires,spotify:track:62OqszvOYSuonp6Buj4P74,4gzpq5DPGxSnKTe4SA8HAU
77,19CvkGjYpifkdwgVJSbog2,12,3ksF058sVZ21EgQdRLbUyI,Charlie Brown - Live in Buenos Aires,spotify:track:3ksF058sVZ21EgQdRLbUyI,4gzpq5DPGxSnKTe4SA8HAU
78,19CvkGjYpifkdwgVJSbog2,13,0w6X9iRKrMyDpRRtbu4tE0,Hymn for the Weekend - Live in Buenos Aires,spotify:track:0w6X9iRKrMyDpRRtbu4tE0,4gzpq5DPGxSnKTe4SA8HAU
79,19CvkGjYpifkdwgVJSbog2,14,7mGJlNOAOmJ5ptkmujg1Gv,Fix You - Live in Buenos Aires,spotify:track:7mGJlNOAOmJ5ptkmujg1Gv,4gzpq5DPGxSnKTe4SA8HAU
80,19CvkGjYpifkdwgVJSbog2,15,4Y9lVjRD82aJOQ2v13UIoF,Viva La Vida - Live in Buenos Aires,spotify:track:4Y9lVjRD82aJOQ2v13UIoF,4gzpq5DPGxSnKTe4SA8HAU
81,19CvkGjYpifkdwgVJSbog2,16,3ERJLifTcWBFNZRl6QAqEC,Adventure of a Lifetime - Live in Buenos Aires,spotify:track:3ERJLifTcWBFNZRl6QAqEC,4gzpq5DPGxSnKTe4SA8HAU
82,19CvkGjYpifkdwgVJSbog2,17,1aQKPnGNa5vK7aA6lTm4JS,De Música Ligera - Live in Buenos Aires,spotify:track:1aQKPnGNa5vK7aA6lTm4JS,4gzpq5DPGxSnKTe4SA8HAU
83,19CvkGjYpifkdwgVJSbog2,18,5MVyXzR1HARqSkQjhPrNBO,Colour Spectrum - Live in Buenos Aires,spotify:track:5MVyXzR1HARqSkQjhPrNBO,4gzpq5DPGxSnKTe4SA8HAU
84,19CvkGjYpifkdwgVJSbog2,19,0o7htzPrB8bP0jnyjiqUdj,In My Place - Live in Buenos Aires,spotify:track:0o7htzPrB8bP0jnyjiqUdj,4gzpq5DPGxSnKTe4SA8HAU
