,albumID,track_number,id,name,uri,artistID
0,6OQ9gBfg5EXeNAEwGSs6jK,1,3IvMYBE7A3c7to1aEcfFJk,Deep Pockets,spotify:track:3IvMYBE7A3c7to1aEcfFJk,3TVXtAsR1Inumwj472S9r4
1,6OQ9gBfg5EXeNAEwGSs6jK,2,5TCBWmEBrin7etRa4Lswr1,When To Say When,spotify:track:5TCBWmEBrin7etRa4Lswr1,3TVXtAsR1Inumwj472S9r4
2,6OQ9gBfg5EXeNAEwGSs6jK,3,4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),spotify:track:4wVOKKEHUJxHCFFNUWDn0B,3TVXtAsR1Inumwj472S9r4
3,6OQ9gBfg5EXeNAEwGSs6jK,4,3Q4gttWQ6hxqWOa3tHoTNi,Not You Too (feat. Chris Brown),spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,3TVXtAsR1Inumwj472S9r4
4,6OQ9gBfg5EXeNAEwGSs6jK,5,466cKvZn1j45IpxDdYZqdA,Toosie Slide,spotify:track:466cKvZn1j45IpxDdYZqdA,3TVXtAsR1Inumwj472S9r4
5,6OQ9gBfg5EXeNAEwGSs6jK,6,7eYAHC0RbBF9eaqWzT34Aq,Desires (with Future),spotify:track:7eYAHC0RbBF9eaqWzT34Aq,3TVXtAsR1Inumwj472S9r4
6,6OQ9gBfg5EXeNAEwGSs6jK,7,5H4mXWKcicuLKDn4Jy0sK7,Time Flies,spotify:track:5H4mXWKcicuLKDn4Jy0sK7,3TVXtAsR1Inumwj472S9r4
7,6OQ9gBfg5EXeNAEwGSs6jK,8,3KixNgUEaDtrKJVzdqjU5q,Landed,spotify:track:3KixNgUEaDtrKJVzdqjU5q,3TVXtAsR1Inumwj472S9r4
8,6OQ9gBfg5EXeNAEwGSs6jK,9,5fHrHoJKfCgBd35zwIBmUK,D4L,spotify:track:5fHrHoJKfCgBd35zwIBmUK,3TVXtAsR1Inumwj472S9r4
9,6OQ9gBfg5EXeNAEwGSs6jK,10,6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),spotify:track:6Kj17Afjo1OKJYpf5VzCeo,3TVXtAsR1Inumwj472S9r4
10,6OQ9gBfg5EXeNAEwGSs6jK,11,6fLVTVaHWaEfVKfEgbkf4D,Losses,spotify:track:6fLVTVaHWaEfVKfEgbkf4D,3TVXtAsR1Inumwj472S9r4
11,6OQ9gBfg5EXeNAEwGSs6jK,12,0YkUwXxnTkeJBvt5upeEtP,From Florida With Love,spotify:track:0YkUwXxnTkeJBvt5upeEtP,3TVXtAsR1Inumwj472S9r4
12,6OQ9gBfg5EXeNAEwGSs6jK,13,05aZ9sAU1YXndHv0FMi9iW,Demons (feat. Fivio Foreign & Sosa Geek),spotify:track:05aZ9sAU1YXndHv0FMi9iW,3TVXtAsR1Inumwj472S9r4
13,6OQ9gBfg5EXeNAEwGSs6jK,14,1I55Ea0zVoSKs6MqW7DQ3i,War,spotify:track:1I55Ea0zVoSKs6MqW7DQ3i,3TVXtAsR1Inumwj472S9r4
28,7dqpveMVcWgbzqYrOdkFTD,1,1qyFlfPREPbRcS2BNszdYI,Dreams Money Can Buy,spotify:track:1qyFlfPREPbRcS2BNszdYI,3TVXtAsR1Inumwj472S9r4
29,7dqpveMVcWgbzqYrOdkFTD,2,0Tacxc5lDJ8LwiO1pWNSl8,The Motion,spotify:track:0Tacxc5lDJ8LwiO1pWNSl8,3TVXtAsR1Inumwj472S9r4
30,7dqpveMVcWgbzqYrOdkFTD,3,4n4BflhWjCHIxrI4v7Xt9s,How Bout Now,spotify:track:4n4BflhWjCHIxrI4v7Xt9s,3TVXtAsR1Inumwj472S9r4
31,7dqpveMVcWgbzqYrOdkFTD,4,4Wjhj0WjkyECccfHVIgaTq,Trust Issues,spotify:track:4Wjhj0WjkyECccfHVIgaTq,3TVXtAsR1Inumwj472S9r4
32,7dqpveMVcWgbzqYrOdkFTD,5,4czcw3NVLY0of5hTD7OufN,Days in The East,spotify:track:4czcw3NVLY0of5hTD7OufN,3TVXtAsR1Inumwj472S9r4
33,7dqpveMVcWgbzqYrOdkFTD,6,3W3FVHEDetkiRkkGKDmdir,Draft Day,spotify:track:3W3FVHEDetkiRkkGKDmdir,3TVXtAsR1Inumwj472S9r4
34,7dqpveMVcWgbzqYrOdkFTD,7,6C9SwoZ5OrxcvkntgA5t8s,4pm in Calabasas,spotify:track:6C9SwoZ5OrxcvkntgA5t8s,3TVXtAsR1Inumwj472S9r4
35,7dqpveMVcWgbzqYrOdkFTD,8,0FnxK9FEAQyPJ284QcieNb,5 Am in Toronto,spotify:track:0FnxK9FEAQyPJ284QcieNb,3TVXtAsR1Inumwj472S9r4
36,7dqpveMVcWgbzqYrOdkFTD,9,3sMC6vfTTSa0mMAPTwzDVD,I Get Lonely,spotify:track:3sMC6vfTTSa0mMAPTwzDVD,3TVXtAsR1Inumwj472S9r4
