,albumID,track_number,id,name,uri,artistID
0,13lMLnHs5qsmm687oRc3VC,1,6yluLIF5UowR56bZgIwd69,title track,spotify:track:6yluLIF5UowR56bZgIwd69,6TIYQ3jFPwQSRmorSezPxX
1,13lMLnHs5qsmm687oRc3VC,2,26gSBcw01jGFdkbWY5Plei,kiss kiss,spotify:track:26gSBcw01jGFdkbWY5Plei,6TIYQ3jFPwQSRmorSezPxX
2,13lMLnHs5qsmm687oRc3VC,3,7eTXHE3XiucigdrYHrXpZK,drunk face,spotify:track:7eTXHE3XiucigdrYHrXpZK,6TIYQ3jFPwQSRmorSezPxX
3,13lMLnHs5qsmm687oRc3VC,4,7FfCyM2CMWorArcWFtQ7ZX,bloody valentine,spotify:track:7FfCyM2CMWorArcWFtQ7ZX,6TIYQ3jFPwQSRmorSezPxX
4,13lMLnHs5qsmm687oRc3VC,5,1UJvaNw3UufXObCph26Li9,forget me too (feat. Halsey),spotify:track:1UJvaNw3UufXObCph26Li9,6TIYQ3jFPwQSRmorSezPxX
5,13lMLnHs5qsmm687oRc3VC,6,5Vx0dXQM4yRn8jf87406Op,all I know (feat. Trippie Redd),spotify:track:5Vx0dXQM4yRn8jf87406Op,6TIYQ3jFPwQSRmorSezPxX
6,13lMLnHs5qsmm687oRc3VC,7,4cJMTTVlG4zefUr4mNITuQ,lonely,spotify:track:4cJMTTVlG4zefUr4mNITuQ,6TIYQ3jFPwQSRmorSezPxX
7,13lMLnHs5qsmm687oRc3VC,8,3IoyR0WTLcC8NsudZKh37e,WWIII,spotify:track:3IoyR0WTLcC8NsudZKh37e,6TIYQ3jFPwQSRmorSezPxX
8,13lMLnHs5qsmm687oRc3VC,9,0VcuWdt5u4wULTqGR65d6P,kevin and barracuda - interlude,spotify:track:0VcuWdt5u4wULTqGR65d6P,6TIYQ3jFPwQSRmorSezPxX
9,13lMLnHs5qsmm687oRc3VC,10,2N2q2P0N86ZNS6mKYXoojf,concert for aliens,spotify:track:2N2q2P0N86ZNS6mKYXoojf,6TIYQ3jFPwQSRmorSezPxX
10,13lMLnHs5qsmm687oRc3VC,11,2pIAlUHOhM9ijF4kJr7ZNY,my ex's best friend (with blackbear),spotify:track:2pIAlUHOhM9ijF4kJr7ZNY,6TIYQ3jFPwQSRmorSezPxX
11,13lMLnHs5qsmm687oRc3VC,12,7EAvqzE3B4S53jH1bjkuCe,jawbreaker,spotify:track:7EAvqzE3B4S53jH1bjkuCe,6TIYQ3jFPwQSRmorSezPxX
12,13lMLnHs5qsmm687oRc3VC,13,5jlivIdjjp1pP5HvN0J0QI,nothing inside (feat. iann dior),spotify:track:5jlivIdjjp1pP5HvN0J0QI,6TIYQ3jFPwQSRmorSezPxX
13,13lMLnHs5qsmm687oRc3VC,14,6yK8yu72dXsQDWRdZ1OKaL,banyan tree - interlude,spotify:track:6yK8yu72dXsQDWRdZ1OKaL,6TIYQ3jFPwQSRmorSezPxX
14,13lMLnHs5qsmm687oRc3VC,15,3piGeiIp5UJATvb9e9n1Z5,play this when i'm gone,spotify:track:3piGeiIp5UJATvb9e9n1Z5,6TIYQ3jFPwQSRmorSezPxX
15,13lMLnHs5qsmm687oRc3VC,16,0NZrY7Lc9g6V03hxRpfToV,body bag (feat. YUNGBLUD & Bert McCracken of The Used),spotify:track:0NZrY7Lc9g6V03hxRpfToV,6TIYQ3jFPwQSRmorSezPxX
16,13lMLnHs5qsmm687oRc3VC,17,3FftYzkNisNH913O0KLgiO,hangover cure,spotify:track:3FftYzkNisNH913O0KLgiO,6TIYQ3jFPwQSRmorSezPxX
