,albumID,track_number,id,name,uri,artistID
0,63iWSELt9V1kV6RSMxN7Ii,1,5Py8zRKGkZvgHniVVtvNCN,All Around Me,spotify:track:5Py8zRKGkZvgHniVVtvNCN,1uNFoZAHBGtllmzznpCI3s
1,63iWSELt9V1kV6RSMxN7Ii,2,40qyPyljksBEqlNw5sW37T,Habitual,spotify:track:40qyPyljksBEqlNw5sW37T,1uNFoZAHBGtllmzznpCI3s
2,63iWSELt9V1kV6RSMxN7Ii,3,2o9LAypwGH4ctV0i9boo6d,Come Around Me,spotify:track:2o9LAypwGH4ctV0i9boo6d,1uNFoZAHBGtllmzznpCI3s
3,63iWSELt9V1kV6RSMxN7Ii,4,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),spotify:track:4umIPjkehX1r7uhmGvXiSV,1uNFoZAHBGtllmzznpCI3s
4,63iWSELt9V1kV6RSMxN7Ii,5,16wAOAZ2OkqoIDN7TpChjR,Yummy,spotify:track:16wAOAZ2OkqoIDN7TpChjR,1uNFoZAHBGtllmzznpCI3s
5,63iWSELt9V1kV6RSMxN7Ii,6,1b6tPXXCV2fSNtR3SKWUQA,Available,spotify:track:1b6tPXXCV2fSNtR3SKWUQA,1uNFoZAHBGtllmzznpCI3s
6,63iWSELt9V1kV6RSMxN7Ii,7,2ZlCGeK30BLRNSPC832pNZ,Forever (feat. Post Malone & Clever),spotify:track:2ZlCGeK30BLRNSPC832pNZ,1uNFoZAHBGtllmzznpCI3s
7,63iWSELt9V1kV6RSMxN7Ii,8,75nKBP8jQu681pTNCtrEnn,Running Over (feat. Lil Dicky),spotify:track:75nKBP8jQu681pTNCtrEnn,1uNFoZAHBGtllmzznpCI3s
8,63iWSELt9V1kV6RSMxN7Ii,9,39nTNk5MfyiiRupTwn1iyC,Take It Out On Me,spotify:track:39nTNk5MfyiiRupTwn1iyC,1uNFoZAHBGtllmzznpCI3s
9,63iWSELt9V1kV6RSMxN7Ii,10,1PnAx788sAvcI3ZxTlEyX8,Second Emotion (feat. Travis Scott),spotify:track:1PnAx788sAvcI3ZxTlEyX8,1uNFoZAHBGtllmzznpCI3s
10,63iWSELt9V1kV6RSMxN7Ii,11,5VwwpU7KsLhgfbMEecedhJ,Get Me (feat. Kehlani),spotify:track:5VwwpU7KsLhgfbMEecedhJ,1uNFoZAHBGtllmzznpCI3s
11,63iWSELt9V1kV6RSMxN7Ii,12,6PzOPrXx8tJEqace76yrv2,E.T.A.,spotify:track:6PzOPrXx8tJEqace76yrv2,1uNFoZAHBGtllmzznpCI3s
12,63iWSELt9V1kV6RSMxN7Ii,13,521Os1SMlxmsoevsqyjNmJ,Changes,spotify:track:521Os1SMlxmsoevsqyjNmJ,1uNFoZAHBGtllmzznpCI3s
13,63iWSELt9V1kV6RSMxN7Ii,14,60brXKLTC15vK0av5gIldm,Confirmation,spotify:track:60brXKLTC15vK0av5gIldm,1uNFoZAHBGtllmzznpCI3s
14,63iWSELt9V1kV6RSMxN7Ii,15,2hLu8L8SNfCN4yKyPdX0h3,That's What Love Is,spotify:track:2hLu8L8SNfCN4yKyPdX0h3,1uNFoZAHBGtllmzznpCI3s
15,63iWSELt9V1kV6RSMxN7Ii,16,6VLkgf5YmLixsabdqiCVGU,At Least For Now,spotify:track:6VLkgf5YmLixsabdqiCVGU,1uNFoZAHBGtllmzznpCI3s
16,63iWSELt9V1kV6RSMxN7Ii,17,2FBpJGt00G0h1q0RHuqaGO,Yummy - Summer Walker Remix,spotify:track:2FBpJGt00G0h1q0RHuqaGO,1uNFoZAHBGtllmzznpCI3s
17,6Fr2rQkZ383FcMqFyT7yPr,1,2SnNaoNhMjC1WRMTWD8qTX,Mark My Words,spotify:track:2SnNaoNhMjC1WRMTWD8qTX,1uNFoZAHBGtllmzznpCI3s
18,6Fr2rQkZ383FcMqFyT7yPr,2,0SNIAtRCPVVLoGEPcuHSIc,I'll Show You,spotify:track:0SNIAtRCPVVLoGEPcuHSIc,1uNFoZAHBGtllmzznpCI3s
19,6Fr2rQkZ383FcMqFyT7yPr,3,4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,spotify:track:4B0JvthVoAAuygILe3n4Bs,1uNFoZAHBGtllmzznpCI3s
20,6Fr2rQkZ383FcMqFyT7yPr,4,09CtPGIpYB4BrO8qb1RGsF,Sorry,spotify:track:09CtPGIpYB4BrO8qb1RGsF,1uNFoZAHBGtllmzznpCI3s
21,6Fr2rQkZ383FcMqFyT7yPr,5,50kpGaPAhYJ3sGmk6vplg0,Love Yourself,spotify:track:50kpGaPAhYJ3sGmk6vplg0,1uNFoZAHBGtllmzznpCI3s
22,6Fr2rQkZ383FcMqFyT7yPr,6,61uyGDPJ06MkxJtHgPmuyO,Company,spotify:track:61uyGDPJ06MkxJtHgPmuyO,1uNFoZAHBGtllmzznpCI3s
23,6Fr2rQkZ383FcMqFyT7yPr,7,23UV8pJEvRnAZd6ZAXBC0H,No Pressure,spotify:track:23UV8pJEvRnAZd6ZAXBC0H,1uNFoZAHBGtllmzznpCI3s
