,albumID,track_number,id,name,uri,artistID
0,3mAaCQNqRARBgzS3BFWwH0,1,1mimxOfJyT9LHzI5Y5XB2F,Best 4 U,spotify:track:1mimxOfJyT9LHzI5Y5XB2F,04gDigrS5kc9YWfZHwBETP
1,3mAaCQNqRARBgzS3BFWwH0,2,5BvcK5Cns4owVBSswDArJG,What Lovers Do,spotify:track:5BvcK5Cns4owVBSswDArJG,04gDigrS5kc9YWfZHwBETP
2,3mAaCQNqRARBgzS3BFWwH0,3,0nvU7ZwJHNPOJODxwxSR8C,Wait,spotify:track:0nvU7ZwJHNPOJODxwxSR8C,04gDigrS5kc9YWfZHwBETP
3,3mAaCQNqRARBgzS3BFWwH0,4,6X0pyufTQG5EFVXEeLhBfq,Lips On You,spotify:track:6X0pyufTQG5EFVXEeLhBfq,04gDigrS5kc9YWfZHwBETP
4,3mAaCQNqRARBgzS3BFWwH0,5,7kjT4UbmDA6kEN5omfBitu,Bet My Heart,spotify:track:7kjT4UbmDA6kEN5omfBitu,04gDigrS5kc9YWfZHwBETP
5,3mAaCQNqRARBgzS3BFWwH0,6,2WTAN36QVHH2x4LRO9ky5F,Help Me Out,spotify:track:2WTAN36QVHH2x4LRO9ky5F,04gDigrS5kc9YWfZHwBETP
6,3mAaCQNqRARBgzS3BFWwH0,7,7vuwqUPpwYMfaCrACzN81P,Who I Am,spotify:track:7vuwqUPpwYMfaCrACzN81P,04gDigrS5kc9YWfZHwBETP
7,3mAaCQNqRARBgzS3BFWwH0,8,3EP0XUbQ0z0ucfm4TUUhBx,Whiskey,spotify:track:3EP0XUbQ0z0ucfm4TUUhBx,04gDigrS5kc9YWfZHwBETP
8,3mAaCQNqRARBgzS3BFWwH0,9,7ubVJJZQhmW7ckP1fJhQA4,Girls Like You,spotify:track:7ubVJJZQhmW7ckP1fJhQA4,04gDigrS5kc9YWfZHwBETP
9,3mAaCQNqRARBgzS3BFWwH0,10,60wk9sGnbJtGgEBsr4bSPv,Closure,spotify:track:60wk9sGnbJtGgEBsr4bSPv,04gDigrS5kc9YWfZHwBETP
10,3mAaCQNqRARBgzS3BFWwH0,11,04N5FTf5GZ5qcvvZeLw9bL,Denim Jacket,spotify:track:04N5FTf5GZ5qcvvZeLw9bL,04gDigrS5kc9YWfZHwBETP
11,3mAaCQNqRARBgzS3BFWwH0,12,5QuVy6mYOJrA8CAxdSQA8H,Visions,spotify:track:5QuVy6mYOJrA8CAxdSQA8H,04gDigrS5kc9YWfZHwBETP
12,3mAaCQNqRARBgzS3BFWwH0,13,7rgwulQt0TxOuTnjYZ5Uol,Plastic Rose,spotify:track:7rgwulQt0TxOuTnjYZ5Uol,04gDigrS5kc9YWfZHwBETP
13,3mAaCQNqRARBgzS3BFWwH0,14,7xJanmgQtqOVOupf8QdjEj,Don't Wanna Know,spotify:track:7xJanmgQtqOVOupf8QdjEj,04gDigrS5kc9YWfZHwBETP
14,3mAaCQNqRARBgzS3BFWwH0,15,7nba4Xvzh1F8MNNHWdNUdh,Cold,spotify:track:7nba4Xvzh1F8MNNHWdNUdh,04gDigrS5kc9YWfZHwBETP
16,3mAaCQNqRARBgzS3BFWwH0,17,3ZmB5q79iRyZc5mFTVqigI,Sugar - Remix,spotify:track:3ZmB5q79iRyZc5mFTVqigI,04gDigrS5kc9YWfZHwBETP
17,3mAaCQNqRARBgzS3BFWwH0,18,0EBEgnRLPTEAmofirXu4hQ,Wake Up Call - Mark Ronson Remix,spotify:track:0EBEgnRLPTEAmofirXu4hQ,04gDigrS5kc9YWfZHwBETP
18,3mAaCQNqRARBgzS3BFWwH0,19,5uZr1d2CPHznf39x0c2Zc1,If I Never See Your Face Again,spotify:track:5uZr1d2CPHznf39x0c2Zc1,04gDigrS5kc9YWfZHwBETP
19,3mAaCQNqRARBgzS3BFWwH0,20,5Ku5Qg4TJxlfxu1gDaKll8,Moves Like Jagger - Studio Recording From The Voice Performance,spotify:track:5Ku5Qg4TJxlfxu1gDaKll8,04gDigrS5kc9YWfZHwBETP
20,3mAaCQNqRARBgzS3BFWwH0,21,1EgdFxPAbZGr4IzDTPhBNs,My Heart Is Open,spotify:track:1EgdFxPAbZGr4IzDTPhBNs,04gDigrS5kc9YWfZHwBETP
21,3mAaCQNqRARBgzS3BFWwH0,22,6Sd0lFzRT3NAJburRwvi07,Girls Like You - CRAY Remix,spotify:track:6Sd0lFzRT3NAJburRwvi07,04gDigrS5kc9YWfZHwBETP
22,3mAaCQNqRARBgzS3BFWwH0,23,5qBzWB8dBHGBlV4e8Ok6VV,What Lovers Do - A-Trak Remix,spotify:track:5qBzWB8dBHGBlV4e8Ok6VV,04gDigrS5kc9YWfZHwBETP
24,0fe04UycvOyXQD4o3uA7Vo,2,6HIM6FrIlHYCoPlKkDtgXn,What Lovers Do (feat. SZA),spotify:track:6HIM6FrIlHYCoPlKkDtgXn,04gDigrS5kc9YWfZHwBETP
28,0fe04UycvOyXQD4o3uA7Vo,6,4IKrzxzjqZLHPpFhgc6LRF,Help Me Out (with Julia Michaels),spotify:track:4IKrzxzjqZLHPpFhgc6LRF,04gDigrS5kc9YWfZHwBETP
29,0fe04UycvOyXQD4o3uA7Vo,7,0NdErbtlEnuyPl0IFicxxZ,Who I Am (feat. LunchMoney Lewis),spotify:track:0NdErbtlEnuyPl0IFicxxZ,04gDigrS5kc9YWfZHwBETP
30,0fe04UycvOyXQD4o3uA7Vo,8,0G4hLnZHfnRtRvFy1Xse5X,Whiskey (feat. A$AP Rocky),spotify:track:0G4hLnZHfnRtRvFy1Xse5X,04gDigrS5kc9YWfZHwBETP
36,0fe04UycvOyXQD4o3uA7Vo,14,2nj8GB0PY5sbHjEXoWH4UR,Don't Wanna Know (feat. Kendrick Lamar),spotify:track:2nj8GB0PY5sbHjEXoWH4UR,04gDigrS5kc9YWfZHwBETP
37,0fe04UycvOyXQD4o3uA7Vo,15,4eQ31LSLD3AbGFNdYD7el1,Cold (feat. Future),spotify:track:4eQ31LSLD3AbGFNdYD7el1,04gDigrS5kc9YWfZHwBETP
38,0fe04UycvOyXQD4o3uA7Vo,16,2MvXdWIMTSzRXw7Q1BaQWL,Moves Like Jagger - Live In Manchester,spotify:track:2MvXdWIMTSzRXw7Q1BaQWL,04gDigrS5kc9YWfZHwBETP
39,0fe04UycvOyXQD4o3uA7Vo,17,2Ogv99VSzY8Cj1ZfWrJ9fQ,Sugar - Live In Manchester,spotify:track:2Ogv99VSzY8Cj1ZfWrJ9fQ,04gDigrS5kc9YWfZHwBETP
40,0fe04UycvOyXQD4o3uA7Vo,18,7u1mDZCf1f4Ddcf3Lvibef,Daylight - Live In Manchester,spotify:track:7u1mDZCf1f4Ddcf3Lvibef,04gDigrS5kc9YWfZHwBETP
41,0fe04UycvOyXQD4o3uA7Vo,19,4ecm1JG8qK8RlB6fsMlu8I,Payphone - Live In Manchester,spotify:track:4ecm1JG8qK8RlB6fsMlu8I,04gDigrS5kc9YWfZHwBETP
42,0fe04UycvOyXQD4o3uA7Vo,20,5elwjgeSQd8U4X12hsiHuu,Maps - Live In Manchester,spotify:track:5elwjgeSQd8U4X12hsiHuu,04gDigrS5kc9YWfZHwBETP
43,0fe04UycvOyXQD4o3uA7Vo,21,01VdmdQXB9uVOhqfEM51Yx,Stereo Hearts - Live In Manchester,spotify:track:01VdmdQXB9uVOhqfEM51Yx,04gDigrS5kc9YWfZHwBETP
44,0fe04UycvOyXQD4o3uA7Vo,22,1ypczR6VSkH6qhNOKEkFJx,Harder To Breathe - Live In Manchester,spotify:track:1ypczR6VSkH6qhNOKEkFJx,04gDigrS5kc9YWfZHwBETP
45,0fe04UycvOyXQD4o3uA7Vo,23,581AMvLj797SfiK8Fi7cRd,This Love - Live In Manchester,spotify:track:581AMvLj797SfiK8Fi7cRd,04gDigrS5kc9YWfZHwBETP
46,0fe04UycvOyXQD4o3uA7Vo,24,4tjJ21JqEjDzNCmo9h9tsv,Animals - Live In Manchester,spotify:track:4tjJ21JqEjDzNCmo9h9tsv,04gDigrS5kc9YWfZHwBETP
47,0fe04UycvOyXQD4o3uA7Vo,25,0ynF2svLpsCqkfcWwG03eo,Girls Like You (feat. Cardi B),spotify:track:0ynF2svLpsCqkfcWwG03eo,04gDigrS5kc9YWfZHwBETP
