,albumID,track_number,id,name,uri,artistID
0,6n9DKpOxwifT5hOXtgLZSL,1,02XcRGWPkvomFvzTamEKHg,Anxiety - Intro,spotify:track:02XcRGWPkvomFvzTamEKHg,4MCBfE4596Uoi2O4DtmEMz
1,6n9DKpOxwifT5hOXtgLZSL,2,4K06PO78fW4mnBVenxGNob,Conversations,spotify:track:4K06PO78fW4mnBVenxGNob,4MCBfE4596Uoi2O4DtmEMz
2,6n9DKpOxwifT5hOXtgLZSL,3,1YM6c2sxbf2Jacl9IFgn4I,Titanic,spotify:track:1YM6c2sxbf2Jacl9IFgn4I,4MCBfE4596Uoi2O4DtmEMz
3,6n9DKpOxwifT5hOXtgLZSL,4,7d94IqWX2UmSKMGUYSGFJG,Bad Energy,spotify:track:7d94IqWX2UmSKMGUYSGFJG,4MCBfE4596Uoi2O4DtmEMz
4,6n9DKpOxwifT5hOXtgLZSL,5,5dOxHHMOFAbG3VH23t0xNm,Righteous,spotify:track:5dOxHHMOFAbG3VH23t0xNm,4MCBfE4596Uoi2O4DtmEMz
5,6n9DKpOxwifT5hOXtgLZSL,6,0fCwrjKfWxF3xQhZrYUw4T,Blood On My Jeans,spotify:track:0fCwrjKfWxF3xQhZrYUw4T,4MCBfE4596Uoi2O4DtmEMz
6,6n9DKpOxwifT5hOXtgLZSL,7,6wQlQrTY5mVS8EGaFZVwVF,Smile (with The Weeknd),spotify:track:6wQlQrTY5mVS8EGaFZVwVF,4MCBfE4596Uoi2O4DtmEMz
7,6n9DKpOxwifT5hOXtgLZSL,8,5JAYDuLRkODlVt6dgoalKk,Tell Me U Luv Me (with Trippie Redd),spotify:track:5JAYDuLRkODlVt6dgoalKk,4MCBfE4596Uoi2O4DtmEMz
8,6n9DKpOxwifT5hOXtgLZSL,9,0ada5XsQGLPUVbmTCkAP49,Hate The Other Side (with Marshmello & The Kid Laroi),spotify:track:0ada5XsQGLPUVbmTCkAP49,4MCBfE4596Uoi2O4DtmEMz
9,6n9DKpOxwifT5hOXtgLZSL,10,2wg81gBz6PZSwbZrXObeW4,Get Through It - Interlude,spotify:track:2wg81gBz6PZSwbZrXObeW4,4MCBfE4596Uoi2O4DtmEMz
10,6n9DKpOxwifT5hOXtgLZSL,11,5wWAwzGp2OaaoIkwcz6wZs,Life's A Mess (feat. Halsey),spotify:track:5wWAwzGp2OaaoIkwcz6wZs,4MCBfE4596Uoi2O4DtmEMz
11,6n9DKpOxwifT5hOXtgLZSL,12,2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),spotify:track:2Y0wPrPQBrGhoLn14xRYCG,4MCBfE4596Uoi2O4DtmEMz
12,6n9DKpOxwifT5hOXtgLZSL,13,2SVx3uds6jTWALFxevIWMA,I Want It,spotify:track:2SVx3uds6jTWALFxevIWMA,4MCBfE4596Uoi2O4DtmEMz
13,6n9DKpOxwifT5hOXtgLZSL,14,0440JCJyIAmINA8KcYgFb5,Fighting Demons,spotify:track:0440JCJyIAmINA8KcYgFb5,4MCBfE4596Uoi2O4DtmEMz
14,6n9DKpOxwifT5hOXtgLZSL,15,2U5WueTLIK5WJLD7mvDODv,Wishing Well,spotify:track:2U5WueTLIK5WJLD7mvDODv,4MCBfE4596Uoi2O4DtmEMz
15,6n9DKpOxwifT5hOXtgLZSL,16,4F6YLjakjqWFTgC5qfEwPQ,Screw Juice,spotify:track:4F6YLjakjqWFTgC5qfEwPQ,4MCBfE4596Uoi2O4DtmEMz
16,6n9DKpOxwifT5hOXtgLZSL,17,7pbg3ABlAZv2NiIdKbBBFm,Up Up And Away,spotify:track:7pbg3ABlAZv2NiIdKbBBFm,4MCBfE4596Uoi2O4DtmEMz
17,6n9DKpOxwifT5hOXtgLZSL,18,4sjdZEEQvR1sXrRNSuBfbA,"The Man, The Myth, The Legend - Interlude",spotify:track:4sjdZEEQvR1sXrRNSuBfbA,4MCBfE4596Uoi2O4DtmEMz
18,6n9DKpOxwifT5hOXtgLZSL,19,21CkzgKCBCq5V4XKjiGSIj,Stay High,spotify:track:21CkzgKCBCq5V4XKjiGSIj,4MCBfE4596Uoi2O4DtmEMz
19,6n9DKpOxwifT5hOXtgLZSL,20,4PPLJAEYBSOcnzr9TZoqf9,Can't Die,spotify:track:4PPLJAEYBSOcnzr9TZoqf9,4MCBfE4596Uoi2O4DtmEMz
20,6n9DKpOxwifT5hOXtgLZSL,21,7AvprzMsRJpybaalckaT8c,Man Of The Year,spotify:track:7AvprzMsRJpybaalckaT8c,4MCBfE4596Uoi2O4DtmEMz
21,6n9DKpOxwifT5hOXtgLZSL,22,1OjiYjgPZyxS0AiXiSnuYI,Juice WRLD Speaks From Heaven - Outro,spotify:track:1OjiYjgPZyxS0AiXiSnuYI,4MCBfE4596Uoi2O4DtmEMz
44,1GYVNOzwhx1nMcIJDogSNp,1,41MCdlvXOl62B7Kv86Bb1v,Empty,spotify:track:41MCdlvXOl62B7Kv86Bb1v,4MCBfE4596Uoi2O4DtmEMz
45,1GYVNOzwhx1nMcIJDogSNp,2,4mUIe9gfsdtsVP2zFIl74x,Maze,spotify:track:4mUIe9gfsdtsVP2zFIl74x,4MCBfE4596Uoi2O4DtmEMz
46,1GYVNOzwhx1nMcIJDogSNp,3,6phY2gnvf9WwCiXlLMQOY3,HeMotions,spotify:track:6phY2gnvf9WwCiXlLMQOY3,4MCBfE4596Uoi2O4DtmEMz
47,1GYVNOzwhx1nMcIJDogSNp,4,5ZOEulH7fvK4ZkMLTOyKL0,Demonz (feat. Brent Faiyaz) - Interlude,spotify:track:5ZOEulH7fvK4ZkMLTOyKL0,4MCBfE4596Uoi2O4DtmEMz
48,1GYVNOzwhx1nMcIJDogSNp,5,6MjNilJCVKJq0LfFvo5jWJ,Fast,spotify:track:6MjNilJCVKJq0LfFvo5jWJ,4MCBfE4596Uoi2O4DtmEMz
49,1GYVNOzwhx1nMcIJDogSNp,6,13ZyrkCDmRz5xY3seuAWYk,Hear Me Calling,spotify:track:13ZyrkCDmRz5xY3seuAWYk,4MCBfE4596Uoi2O4DtmEMz
50,1GYVNOzwhx1nMcIJDogSNp,7,4rWC4tiO4NCwRHdh6vyu6b,Big,spotify:track:4rWC4tiO4NCwRHdh6vyu6b,4MCBfE4596Uoi2O4DtmEMz
51,1GYVNOzwhx1nMcIJDogSNp,8,6Hj9jySrnFppAI0sEMCZpJ,Robbery,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,4MCBfE4596Uoi2O4DtmEMz
52,1GYVNOzwhx1nMcIJDogSNp,9,2BSbCCbaSCzkOEZa6N5901,Flaws And Sins,spotify:track:2BSbCCbaSCzkOEZa6N5901,4MCBfE4596Uoi2O4DtmEMz
53,1GYVNOzwhx1nMcIJDogSNp,10,2Jh3UqxnHJMyzMzku4uOtE,Feeling,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,4MCBfE4596Uoi2O4DtmEMz
54,1GYVNOzwhx1nMcIJDogSNp,11,4dOmgE4ULbySxpeGObN8RL,Syphilis,spotify:track:4dOmgE4ULbySxpeGObN8RL,4MCBfE4596Uoi2O4DtmEMz
55,1GYVNOzwhx1nMcIJDogSNp,12,06LFFPPS7MylCZXps3cO4m,Who Shot Cupid?,spotify:track:06LFFPPS7MylCZXps3cO4m,4MCBfE4596Uoi2O4DtmEMz
56,1GYVNOzwhx1nMcIJDogSNp,13,4zxpssj8DyrfZcEUSUiNxG,Ring Ring (with Rvssian feat. Clever),spotify:track:4zxpssj8DyrfZcEUSUiNxG,4MCBfE4596Uoi2O4DtmEMz
57,1GYVNOzwhx1nMcIJDogSNp,14,15LOSQ3z91ZB2wMiMhiCjZ,Desire,spotify:track:15LOSQ3z91ZB2wMiMhiCjZ,4MCBfE4596Uoi2O4DtmEMz
58,1GYVNOzwhx1nMcIJDogSNp,15,0baYVkFX4vIXXmIuHRWXDN,Out My Way,spotify:track:0baYVkFX4vIXXmIuHRWXDN,4MCBfE4596Uoi2O4DtmEMz
59,1GYVNOzwhx1nMcIJDogSNp,16,6LkawpJyy0TZJ6Z41gMVyy,The Bees Knees,spotify:track:6LkawpJyy0TZJ6Z41gMVyy,4MCBfE4596Uoi2O4DtmEMz
60,1GYVNOzwhx1nMcIJDogSNp,17,572BChNcXOIvtfn2TGmTKc,ON GOD (feat. Young Thug),spotify:track:572BChNcXOIvtfn2TGmTKc,4MCBfE4596Uoi2O4DtmEMz
61,1GYVNOzwhx1nMcIJDogSNp,18,4Z9cAwlkruSbWblPBthygg,10 Feet,spotify:track:4Z9cAwlkruSbWblPBthygg,4MCBfE4596Uoi2O4DtmEMz
62,1GYVNOzwhx1nMcIJDogSNp,19,4yoQbSPoj8H3O8M3EKvC74,Won’t Let Go,spotify:track:4yoQbSPoj8H3O8M3EKvC74,4MCBfE4596Uoi2O4DtmEMz
63,1GYVNOzwhx1nMcIJDogSNp,20,3zM2prB16NRn1zggh1KCY0,She’s The One,spotify:track:3zM2prB16NRn1zggh1KCY0,4MCBfE4596Uoi2O4DtmEMz
