,albumID,track_number,id,name,uri,artistID
0,1Ccd1TNxIFOJFCgtQMNLP3,1,3clrGggBWXMOWI9nao3uGS,Alive (The Edge) [feat. ROOKIES] - DJ Licious Remix,spotify:track:3clrGggBWXMOWI9nao3uGS,20gsENnposVs2I4rQ5kvrf
1,1Ccd1TNxIFOJFCgtQMNLP3,2,08XqZoFlg6If14QQ6IWlSM,Be My Lover - Toby Green Remix,spotify:track:08XqZoFlg6If14QQ6IWlSM,20gsENnposVs2I4rQ5kvrf
2,1Ccd1TNxIFOJFCgtQMNLP3,3,27I93rPMixQhKqzqYxoZhz,Be My Lover - Zerb Remix,spotify:track:27I93rPMixQhKqzqYxoZhz,20gsENnposVs2I4rQ5kvrf
3,1Ccd1TNxIFOJFCgtQMNLP3,4,7rZZpsyYQX80oPzjIRCVTg,Blackbird (feat. Jake Reese) - Calvo Remix,spotify:track:7rZZpsyYQX80oPzjIRCVTg,20gsENnposVs2I4rQ5kvrf
4,1Ccd1TNxIFOJFCgtQMNLP3,5,3bodchCbQnNQzEtwAfc8fX,Carry Me Home (feat. Sam Martin) - Joe Stone Remix,spotify:track:3bodchCbQnNQzEtwAfc8fX,20gsENnposVs2I4rQ5kvrf
5,1Ccd1TNxIFOJFCgtQMNLP3,6,6MwSXjb15HDz3BsO1z6ndg,Chasing After You (feat. RUMORS) - Paul Mayson Remix,spotify:track:6MwSXjb15HDz3BsO1z6ndg,20gsENnposVs2I4rQ5kvrf
6,1Ccd1TNxIFOJFCgtQMNLP3,7,7LPtQB9QrnU9210EL6E7Fy,High And Low (feat. Joshua Radin) - Breathe Carolina Remix,spotify:track:7LPtQB9QrnU9210EL6E7Fy,20gsENnposVs2I4rQ5kvrf
7,1Ccd1TNxIFOJFCgtQMNLP3,8,6LmZk4KJndGnJWLOxMBvki,Just Dropped In (My Condition) [feat. Joe Cleere] - Mesto Remix,spotify:track:6LmZk4KJndGnJWLOxMBvki,20gsENnposVs2I4rQ5kvrf
8,1Ccd1TNxIFOJFCgtQMNLP3,9,4SlCGmCgOrQgMDMw2fGhzL,Leave Me Alone (feat. George Shelley) - Truth x Lies Remix,spotify:track:4SlCGmCgOrQgMDMw2fGhzL,20gsENnposVs2I4rQ5kvrf
9,1Ccd1TNxIFOJFCgtQMNLP3,10,1S4BCCuaIiCMoTcHuGbuPc,Save Tonight - Redondo Remix,spotify:track:1S4BCCuaIiCMoTcHuGbuPc,20gsENnposVs2I4rQ5kvrf
