,albumID,track_number,id,name,uri,artistID
0,6YlDIxqEjvY63ffH6AwCjd,1,3KQ1KVG2F8qAospksegrmZ,Alone Again,spotify:track:3KQ1KVG2F8qAospksegrmZ,1Xyo4u8uXC1ZmMpatF05PJ
1,6YlDIxqEjvY63ffH6AwCjd,2,0zzc5kYkzTmWmwrn3CTk5v,Too Late,spotify:track:0zzc5kYkzTmWmwrn3CTk5v,1Xyo4u8uXC1ZmMpatF05PJ
2,6YlDIxqEjvY63ffH6AwCjd,3,6t5zloC7h0EQllwYph9brV,Hardest To Love,spotify:track:6t5zloC7h0EQllwYph9brV,1Xyo4u8uXC1ZmMpatF05PJ
3,6YlDIxqEjvY63ffH6AwCjd,4,10HsXXmKdge6ugPcTolceY,Scared To Live,spotify:track:10HsXXmKdge6ugPcTolceY,1Xyo4u8uXC1ZmMpatF05PJ
4,6YlDIxqEjvY63ffH6AwCjd,5,1hzVfz7XfL6rnRAk3LGgC2,Snowchild,spotify:track:1hzVfz7XfL6rnRAk3LGgC2,1Xyo4u8uXC1ZmMpatF05PJ
5,6YlDIxqEjvY63ffH6AwCjd,6,5aFoXADqE288FAlbXYmcy6,Escape From LA,spotify:track:5aFoXADqE288FAlbXYmcy6,1Xyo4u8uXC1ZmMpatF05PJ
6,6YlDIxqEjvY63ffH6AwCjd,7,28dQlavHTyrEkmI7w7Nivp,Heartless,spotify:track:28dQlavHTyrEkmI7w7Nivp,1Xyo4u8uXC1ZmMpatF05PJ
7,6YlDIxqEjvY63ffH6AwCjd,8,2QIbiBkgr2pepvCkmWi3Vn,Faith,spotify:track:2QIbiBkgr2pepvCkmWi3Vn,1Xyo4u8uXC1ZmMpatF05PJ
8,6YlDIxqEjvY63ffH6AwCjd,9,5Sg09MvHqNWPWsYeuY2toY,Blinding Lights,spotify:track:5Sg09MvHqNWPWsYeuY2toY,1Xyo4u8uXC1ZmMpatF05PJ
9,6YlDIxqEjvY63ffH6AwCjd,10,3XnkZylcAZ86QAiGVnRVy8,In Your Eyes,spotify:track:3XnkZylcAZ86QAiGVnRVy8,1Xyo4u8uXC1ZmMpatF05PJ
