,albumID,track_number,id,name,uri,artistID
0,1Sf8GsXG32t0jNrX11xqWx,1,7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,spotify:track:7h0d2h0fUmzbs7zeFigJPn,0Y5tJX1MQlPlqiwlOH1tJY
1,1Sf8GsXG32t0jNrX11xqWx,2,62zKJrpbLxz6InR3tGyr7o,JACKBOYS,spotify:track:62zKJrpbLxz6InR3tGyr7o,0Y5tJX1MQlPlqiwlOH1tJY
2,1Sf8GsXG32t0jNrX11xqWx,3,6uJONCdr2rC65BNmCnTBWK,GANG GANG,spotify:track:6uJONCdr2rC65BNmCnTBWK,0Y5tJX1MQlPlqiwlOH1tJY
3,1Sf8GsXG32t0jNrX11xqWx,4,7LGWmZaoS7jZJ5tEi9EcDi,HAD ENOUGH (feat. Quavo & Offset),spotify:track:7LGWmZaoS7jZJ5tEi9EcDi,0Y5tJX1MQlPlqiwlOH1tJY
4,1Sf8GsXG32t0jNrX11xqWx,5,6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),spotify:track:6gi6y1xwmVszDWkUqab1qw,0Y5tJX1MQlPlqiwlOH1tJY
5,1Sf8GsXG32t0jNrX11xqWx,6,4AO1XhrgJczQ9bNVxdfKQe,WHAT TO DO? (feat. Don Toliver),spotify:track:4AO1XhrgJczQ9bNVxdfKQe,0Y5tJX1MQlPlqiwlOH1tJY
6,1Sf8GsXG32t0jNrX11xqWx,7,40mjsnRjCpycdUw3xhS20g,GATTI,spotify:track:40mjsnRjCpycdUw3xhS20g,0Y5tJX1MQlPlqiwlOH1tJY
7,41GuZcammIkupMPKH2OJ6I,1,7wBJfHzpfI3032CSD7CE2m,STARGAZING,spotify:track:7wBJfHzpfI3032CSD7CE2m,0Y5tJX1MQlPlqiwlOH1tJY
8,41GuZcammIkupMPKH2OJ6I,2,7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,spotify:track:7KZ5MMVgBVox9ycroB2UrI,0Y5tJX1MQlPlqiwlOH1tJY
9,41GuZcammIkupMPKH2OJ6I,3,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0Y5tJX1MQlPlqiwlOH1tJY
10,41GuZcammIkupMPKH2OJ6I,4,4SZepBIPDRwPaHIjAKwRDb,R.I.P. SCREW,spotify:track:4SZepBIPDRwPaHIjAKwRDb,0Y5tJX1MQlPlqiwlOH1tJY
11,41GuZcammIkupMPKH2OJ6I,5,1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,spotify:track:1xYpVRspgaLxdJLOTQkTjg,0Y5tJX1MQlPlqiwlOH1tJY
12,41GuZcammIkupMPKH2OJ6I,6,6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,spotify:track:6OaVWaGfhXn70ZJfdVcabn,0Y5tJX1MQlPlqiwlOH1tJY
13,41GuZcammIkupMPKH2OJ6I,7,6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,spotify:track:6NMtzpDQBTOfJwMzgMX0zl,0Y5tJX1MQlPlqiwlOH1tJY
14,41GuZcammIkupMPKH2OJ6I,8,20MuVazoNMv6xjKPnRFOxG,WAKE UP,spotify:track:20MuVazoNMv6xjKPnRFOxG,0Y5tJX1MQlPlqiwlOH1tJY
15,41GuZcammIkupMPKH2OJ6I,9,11kDth1aKUEUMq9r1pqyds,5% TINT,spotify:track:11kDth1aKUEUMq9r1pqyds,0Y5tJX1MQlPlqiwlOH1tJY
16,41GuZcammIkupMPKH2OJ6I,10,6BJbOXDlgVAXSaq6wYFYT2,NC-17,spotify:track:6BJbOXDlgVAXSaq6wYFYT2,0Y5tJX1MQlPlqiwlOH1tJY
17,41GuZcammIkupMPKH2OJ6I,11,4MXhiYIRDMGAuvZc5IFTwC,ASTROTHUNDER,spotify:track:4MXhiYIRDMGAuvZc5IFTwC,0Y5tJX1MQlPlqiwlOH1tJY
18,41GuZcammIkupMPKH2OJ6I,12,7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0Y5tJX1MQlPlqiwlOH1tJY
19,41GuZcammIkupMPKH2OJ6I,13,27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,spotify:track:27a1mYSG5tYg7dmEjWBcmL,0Y5tJX1MQlPlqiwlOH1tJY
20,41GuZcammIkupMPKH2OJ6I,14,4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,spotify:track:4KYS9GK68yeuUJ8vJfPxrq,0Y5tJX1MQlPlqiwlOH1tJY
21,41GuZcammIkupMPKH2OJ6I,15,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,0Y5tJX1MQlPlqiwlOH1tJY
22,41GuZcammIkupMPKH2OJ6I,16,58TaFP5j5i9swOf584yon2,HOUSTONFORNICATION,spotify:track:58TaFP5j5i9swOf584yon2,0Y5tJX1MQlPlqiwlOH1tJY
23,41GuZcammIkupMPKH2OJ6I,17,6vnfObZ4Ys70SBAtti1xZ9,COFFEE BEAN,spotify:track:6vnfObZ4Ys70SBAtti1xZ9,0Y5tJX1MQlPlqiwlOH1tJY
41,6FED8aeieEnUWwQqAO9zT1,1,7J6bnDDitOwfelaJNixHhL,Modern Slavery,spotify:track:7J6bnDDitOwfelaJNixHhL,0Y5tJX1MQlPlqiwlOH1tJY
42,6FED8aeieEnUWwQqAO9zT1,2,628Ueb4sRiXApObhcU9iPU,Black & Chinese,spotify:track:628Ueb4sRiXApObhcU9iPU,0Y5tJX1MQlPlqiwlOH1tJY
